id,text,tags
1,"Um jovem camponês descobre um antigo artefato mágico e parte em uma jornada para salvar seu reino.","fantasia|aventura"
2,"Dois colegas de trabalho desenvolvem sentimentos enquanto lidam com frustrações da vida adulta.","romance|slice_of_life"
3,"Após morrer em um acidente, um programador renasce em um mundo governado por magia e monstros.","fantasia|isekai|aventura"
4,"Uma detetive investiga uma série de assassinatos ritualísticos em uma cidade decadente.","mistério|crime|dark"
5,"Uma história leve sobre amizades, pequenos desafios diários e crescimento pessoal.","slice_of_life"
6,"Um herói relutante precisa liderar uma revolução contra um império tirânico.","fantasia|aventura|drama"
7,"Um casal enfrenta a distância e o tempo em um romance marcado por escolhas difíceis.","romance|drama"
8,"Criaturas sobrenaturais vivem escondidas entre humanos em uma metrópole moderna.","fantasia|urbano|mistério"
9,"Um jovem acorda em um jogo mortal onde cada decisão pode levar à morte.","suspense|thriller|dark"
10,"Uma princesa foge do castelo para viver aventuras e descobrir seu verdadeiro propósito.","fantasia|aventura"
11,"Uma história trágica sobre vingança, perda e o preço do ódio.","drama|tragédia|dark"
12,"Um grupo de amigos explora masmorras perigosas em busca de fama e riqueza.","fantasia|aventura"
13,"Um romance lento que se desenvolve através de cartas trocadas ao longo dos anos.","romance|drama"
14,"Um mundo pós-apocalíptico onde a humanidade luta para sobreviver contra criaturas mutantes.","ficcao_cientifica|pos_apocaliptico|dark"
15,"Um estudante comum descobre ter poderes psíquicos e precisa escondê-los.","fantasia|urbano"
16,"Uma comédia romântica cheia de mal-entendidos e situações absurdas.","romance|comedia"
17,"Um general precisa escolher entre sua lealdade ao império e sua moral.","drama|guerra"
18,"Uma aventura espacial envolvendo contrabandistas, impérios galácticos e alienígenas.","ficcao_cientifica|aventura"
19,"Um assassino profissional começa a questionar sua própria existência.","thriller|drama|crime"
20,"Uma jovem é transportada para dentro de um livro que ela costumava ler.","isekai|fantasia|romance"
21,"Uma história sombria sobre cultos antigos e horrores cósmicos.","terror|mistério|dark"
22,"Dois rivais acadêmicos desenvolvem um relacionamento inesperado.","romance|slice_of_life"
23,"Um mercenário aceita um último contrato que muda tudo.","aventura|crime|drama"
24,"Uma sociedade onde emoções são proibidas e controladas pelo governo.","ficcao_cientifica|distopia|dark"
25,"Uma narrativa contemplativa sobre solidão e significado da vida.","drama|slice_of_life"
26,"Um torneio mortal reúne guerreiros de diferentes reinos.","fantasia|acao|aventura"
27,"Uma história de amadurecimento durante a adolescência.","slice_of_life|drama"
28,"Uma inteligência artificial começa a desenvolver consciência.","ficcao_cientifica|drama"
29,"Um romance proibido entre membros de famílias inimigas.","romance|drama|tragédia"
30,"Um caçador de monstros percorre vilarejos amaldiçoados.","fantasia|dark|aventura"
31,"Uma comédia sobre a vida caótica de estudantes universitários.","comedia|slice_of_life"
32,"Um herói falho tenta reparar erros do passado.","drama|fantasia"
33,"Uma investigação policial envolvendo corrupção e poder.","crime|mistério|thriller"
34,"Um mundo onde humanos convivem com deuses antigos.","fantasia|mitologia"
35,"Uma história curta e leve sobre encontrar felicidade nas pequenas coisas.","slice_of_life"
36,"Um romance intenso ambientado durante uma guerra.","romance|guerra|drama"
37,"Um jovem descobre segredos obscuros sobre sua própria família.","mistério|drama"
38,"Uma jornada filosófica sobre livre-arbítrio e destino.","drama|fantasia"
39,"Um reality show mortal transmitido para todo o planeta.","distopia|thriller|dark"
40,"Um grupo improvável precisa salvar o mundo mesmo sem querer.","fantasia|aventura|comedia"
